"Nov 01, 2023 - Nov 30, 2023",,,,,,
Top Products By Profit,,,,,,
Top Products By Quantity,,,,,,
Product,Quantity,Unit Cost,Unit Price,% Gross Sales,COGS,Gross Profit
Impossible Momo Fried Veg Mo: Mo,2,$0.00,$16.00,0.09%,$0.00,$32.00
"Pork Hakka Noodles Non-Veg Rice, Noodles and Flatbreads",2,$0.00,$16.00,0.09%,$0.00,$32.00
Chicken Lentil soup Non-Vegetarian Soups,2,$0.00,$15.00,0.09%,$0.00,$30.00
Tofu Saag Veg Curries - Served with Rice,2,$0.00,$14.00,0.08%,$0.00,$28.00
Custom_Item Open Charge,2,$0.00,$12.00,0.07%,$0.00,$24.00
Chicken Spring Rolls Non -Veg- Appetizers,2,$0.00,$12.00,0.07%,$0.00,$24.00
Chicken Lentil soup Non-Vegetarian Soups,2,$0.00,$10.00,0.06%,$0.00,$20.00
Custom_Item Open Charge,2,$0.00,$6.00,0.04%,$0.00,$12.00
Side Salad Add-On,2,$0.00,$3.00,0.02%,$0.00,$6.00
Schezwan Sauce 2oz Add-On,2,$0.00,$1.00,0.01%,$0.00,$2.00
Buff Choila Non-Veg Sekuwa and More (Authentic Nepali Barbecue),1,$0.00,$22.00,0.07%,$0.00,$22.00
Buff Choila Non-Veg Sekuwa and More (Authentic Nepali Barbecue),1,$0.00,$20.00,0.06%,$0.00,$20.00
Veg Thakali Thali Lunch Special,1,$0.00,$20.00,0.06%,$0.00,$20.00
Battai Poleko Non-Veg Sekuwa and More (Authentic Nepali Barbecue),1,$0.00,$20.00,0.06%,$0.00,$20.00
Pork Choila Non-Veg Sekuwa and More (Authentic Nepali Barbecue),1,$0.00,$18.00,0.05%,$0.00,$18.00
"Buff Fried Rice Non-Veg Rice, Noodles and Flatbreads",1,$0.00,$18.00,0.05%,$0.00,$18.00
Pork Chilli Non-Veg Chilli Specials,1,$0.00,$18.00,0.05%,$0.00,$18.00
Pork Thukpa Non-Vegetarian Soups,1,$0.00,$18.00,0.05%,$0.00,$18.00
Lamb Saag Non Veg Curries,1,$0.00,$18.00,0.05%,$0.00,$18.00
Impossible Momo Kothey Non-Veg Mo: Mo,1,$0.00,$17.00,0.05%,$0.00,$17.00
Buff Momo Chilli Non-Veg Mo: Mo,1,$0.00,$16.00,0.05%,$0.00,$16.00
Matar Paneer Veg Curries - Served with Rice,1,$0.00,$15.00,0.04%,$0.00,$15.00
Malekhu ko Maachha (Fried Fish) Non -Veg- Appetizers,1,$0.00,$14.00,0.04%,$0.00,$14.00
Chicken Spring Rolls Non -Veg- Appetizers,1,$0.00,$14.00,0.04%,$0.00,$14.00
Matar Paneer Veg Curries - Served with Rice,1,$0.00,$14.00,0.04%,$0.00,$14.00
Custom_Item Open Charge,1,$0.00,$10.00,0.03%,$0.00,$10.00
